frame,total_vehicles,cars,motorcycles,buses,trucks,bicycles,people,total_detections
frame_11988.jpg,32,19,0,12,1,0,1,33
frame_11992.jpg,32,21,0,11,0,0,2,34
frame_11996.jpg,31,21,0,9,1,0,2,33
frame_12.jpg,31,23,0,5,3,0,0,31
frame_120.jpg,35,23,0,11,1,0,1,36
frame_1200.jpg,42,36,0,4,2,0,2,44
frame_12000.jpg,34,24,0,9,1,0,1,35
frame_12004.jpg,35,25,1,8,1,0,2,37
frame_12008.jpg,32,23,0,8,1,0,1,33
frame_12012.jpg,34,24,0,9,1,0,2,36
frame_12016.jpg,32,24,0,7,1,0,2,34
frame_12020.jpg,36,26,0,9,1,0,2,38
frame_12024.jpg,36,26,0,9,1,0,2,38
frame_12028.jpg,37,25,0,10,2,0,2,39
frame_12032.jpg,29,20,0,9,0,0,1,30
frame_12036.jpg,24,16,0,8,0,0,1,25
frame_1204.jpg,42,34,1,4,3,0,1,43
frame_12040.jpg,23,14,0,9,0,0,0,23
frame_12044.jpg,29,20,0,9,0,0,0,29
frame_12048.jpg,29,19,0,10,0,0,1,30
frame_12052.jpg,27,17,0,9,1,0,0,27
frame_12056.jpg,26,16,1,9,0,0,0,26
frame_12060.jpg,27,19,0,8,0,0,0,27
frame_12064.jpg,26,19,0,7,0,0,1,27
frame_12068.jpg,32,22,0,10,0,0,1,33
frame_12072.jpg,24,18,0,6,0,0,1,25
frame_12076.jpg,30,20,0,10,0,0,1,31
frame_1208.jpg,40,34,0,3,3,0,1,41
frame_12080.jpg,29,22,0,7,0,0,0,29
frame_12084.jpg,25,17,0,8,0,0,0,25
frame_12088.jpg,26,19,0,7,0,0,0,26
frame_12092.jpg,30,23,0,7,0,0,1,31
frame_12096.jpg,25,16,0,8,1,0,1,26
frame_12100.jpg,29,21,0,8,0,0,1,30
frame_12104.jpg,30,22,1,7,0,0,1,31
frame_12108.jpg,29,20,0,9,0,0,1,30
frame_12112.jpg,25,17,0,8,0,0,0,25
frame_12116.jpg,30,22,0,8,0,0,1,31
frame_1212.jpg,43,35,1,5,2,0,1,44
frame_12120.jpg,29,19,0,10,0,0,2,31
frame_12124.jpg,31,23,0,8,0,0,2,33
frame_12128.jpg,31,23,0,8,0,0,2,33
frame_12132.jpg,36,29,0,7,0,0,1,37
frame_12136.jpg,36,30,1,5,0,0,1,37
frame_12140.jpg,33,29,0,4,0,0,1,34
frame_12144.jpg,28,21,0,5,2,0,1,29
frame_12148.jpg,31,26,0,4,1,0,2,33
frame_12152.jpg,28,23,0,5,0,0,1,29
frame_12156.jpg,29,25,0,4,0,0,2,31
frame_1216.jpg,41,34,1,5,1,0,2,43
frame_12160.jpg,32,27,0,5,0,0,2,34
frame_12164.jpg,33,27,0,6,0,0,2,35
frame_12168.jpg,33,28,0,5,0,0,2,35
frame_12172.jpg,30,25,0,5,0,0,2,32
frame_12176.jpg,28,22,0,6,0,0,2,30
frame_12180.jpg,31,25,0,6,0,0,3,34
frame_12184.jpg,28,24,0,3,1,0,2,30
frame_12188.jpg,29,24,0,4,1,0,1,30
frame_12192.jpg,31,25,2,3,1,0,1,32
frame_12196.jpg,28,23,0,5,0,0,1,29
frame_1220.jpg,47,38,1,4,4,0,3,50
frame_12200.jpg,28,23,1,4,0,0,1,29
frame_12204.jpg,30,24,1,5,0,0,2,32
frame_12208.jpg,32,28,2,2,0,0,2,34
frame_12212.jpg,33,25,2,5,1,0,2,35
frame_12216.jpg,31,22,0,8,1,0,0,31
frame_12220.jpg,29,23,1,5,0,0,2,31
frame_12224.jpg,26,20,0,6,0,0,1,27
frame_12228.jpg,31,22,1,7,1,0,0,31
frame_12232.jpg,31,24,1,5,1,0,1,32
frame_12236.jpg,34,27,0,5,2,0,0,34
frame_1224.jpg,40,34,0,5,1,0,3,43
frame_12240.jpg,32,21,1,8,2,0,1,33
frame_12244.jpg,34,24,1,7,2,0,0,34
frame_12248.jpg,36,28,1,5,2,0,0,36
frame_12252.jpg,31,24,0,7,0,0,0,31
frame_12256.jpg,31,24,0,6,1,0,0,31
frame_12260.jpg,31,25,1,4,1,0,1,32
frame_12264.jpg,26,20,1,4,1,0,1,27
frame_12268.jpg,27,21,1,3,2,0,1,28
frame_12272.jpg,27,22,1,3,1,0,1,28
frame_12276.jpg,24,20,0,3,1,0,1,25
frame_1228.jpg,43,33,0,7,3,0,2,45
frame_12280.jpg,25,22,0,3,0,0,0,25
